episode,0, randomSeed,0, time,0
episode,0, randomSeed,1, time,0
episode,0, randomSeed,2, time,0
episode,0, randomSeed,3, time,0
episode,0, randomSeed,4, time,0
episode,0, randomSeed,5, time,0
episode,0, randomSeed,6, time,0
episode,0, randomSeed,7, time,0
episode,0, randomSeed,8, time,0
episode,0, randomSeed,9, time,0
episode,0, randomSeed,0, time,0
episode,0, randomSeed,1, time,0
episode,0, randomSeed,2, time,0
episode,0, randomSeed,3, time,0
episode,0, randomSeed,4, time,0
episode,0, randomSeed,5, time,0
episode,0, randomSeed,6, time,0
episode,0, randomSeed,7, time,0
episode,0, randomSeed,8, time,0
episode,0, randomSeed,9, time,0
episode,1, randomSeed,0, time,654
episode,1, randomSeed,1, time,903
episode,1, randomSeed,2, time,1229
episode,1, randomSeed,3, time,1202
episode,1, randomSeed,4, time,1060
episode,1, randomSeed,5, time,1058
episode,1, randomSeed,6, time,786
episode,1, randomSeed,7, time,717
episode,1, randomSeed,8, time,1021
episode,1, randomSeed,9, time,626
episode,2, randomSeed,0, time,1095
episode,2, randomSeed,1, time,1163
episode,2, randomSeed,2, time,1346
episode,2, randomSeed,3, time,1387
episode,2, randomSeed,4, time,1165
episode,2, randomSeed,5, time,1506
episode,2, randomSeed,6, time,1149
episode,2, randomSeed,7, time,1091
episode,2, randomSeed,8, time,1162
episode,2, randomSeed,9, time,1155
episode,3, randomSeed,0, time,1317
episode,3, randomSeed,1, time,1295
episode,3, randomSeed,2, time,1431
episode,3, randomSeed,3, time,1536
episode,3, randomSeed,4, time,1301
episode,3, randomSeed,5, time,1640
episode,3, randomSeed,6, time,1392
episode,3, randomSeed,7, time,1207
episode,3, randomSeed,8, time,1314
episode,3, randomSeed,9, time,1303
episode,4, randomSeed,0, time,1516
episode,4, randomSeed,1, time,1365
episode,4, randomSeed,2, time,1604
episode,4, randomSeed,3, time,1627
episode,4, randomSeed,4, time,1609
episode,4, randomSeed,5, time,1718
episode,4, randomSeed,6, time,1545
episode,4, randomSeed,7, time,1537
episode,4, randomSeed,8, time,1669
episode,4, randomSeed,9, time,1626
episode,5, randomSeed,0, time,1705
episode,5, randomSeed,1, time,1497
episode,5, randomSeed,2, time,1812
episode,5, randomSeed,3, time,1776
episode,5, randomSeed,4, time,1645
episode,5, randomSeed,5, time,1774
episode,5, randomSeed,6, time,1849
episode,5, randomSeed,7, time,1862
episode,5, randomSeed,8, time,2055
episode,5, randomSeed,9, time,1827
episode,6, randomSeed,0, time,1845
episode,6, randomSeed,1, time,1840
episode,6, randomSeed,2, time,2158
episode,6, randomSeed,3, time,1999
episode,6, randomSeed,4, time,1766
episode,6, randomSeed,5, time,1863
episode,6, randomSeed,6, time,1924
episode,6, randomSeed,7, time,2023
episode,6, randomSeed,8, time,2146
episode,6, randomSeed,9, time,1868
episode,7, randomSeed,0, time,1966
episode,7, randomSeed,1, time,2042
episode,7, randomSeed,2, time,2181
episode,7, randomSeed,3, time,2043
episode,7, randomSeed,4, time,1908
episode,7, randomSeed,5, time,2147
episode,7, randomSeed,6, time,1981
episode,7, randomSeed,7, time,2109
episode,7, randomSeed,8, time,2272
episode,7, randomSeed,9, time,1940
episode,8, randomSeed,0, time,2054
episode,8, randomSeed,1, time,2076
episode,8, randomSeed,2, time,2200
episode,8, randomSeed,3, time,2080
episode,8, randomSeed,4, time,2030
episode,8, randomSeed,5, time,2234
episode,8, randomSeed,6, time,2015
episode,8, randomSeed,7, time,2145
episode,8, randomSeed,8, time,2328
episode,8, randomSeed,9, time,2084
episode,9, randomSeed,0, time,2090
episode,9, randomSeed,1, time,2184
episode,9, randomSeed,2, time,2247
episode,9, randomSeed,3, time,2104
episode,9, randomSeed,4, time,2171
episode,9, randomSeed,5, time,2282
episode,9, randomSeed,6, time,2307
episode,9, randomSeed,7, time,2271
episode,9, randomSeed,8, time,2532
episode,9, randomSeed,9, time,2200
episode,10, randomSeed,0, time,2183
episode,10, randomSeed,1, time,2240
episode,10, randomSeed,2, time,2296
episode,10, randomSeed,3, time,2197
episode,10, randomSeed,4, time,2394
episode,10, randomSeed,5, time,2304
episode,10, randomSeed,6, time,2488
episode,10, randomSeed,7, time,2338
episode,10, randomSeed,8, time,2572
episode,10, randomSeed,9, time,2233
episode,11, randomSeed,0, time,2427
episode,11, randomSeed,1, time,2274
episode,11, randomSeed,2, time,2385
episode,11, randomSeed,3, time,2271
episode,11, randomSeed,4, time,2490
episode,11, randomSeed,5, time,2482
episode,11, randomSeed,6, time,2629
episode,11, randomSeed,7, time,2368
episode,11, randomSeed,8, time,2664
episode,11, randomSeed,9, time,2488
episode,12, randomSeed,0, time,2465
episode,12, randomSeed,1, time,2345
episode,12, randomSeed,2, time,2506
episode,12, randomSeed,3, time,2356
episode,12, randomSeed,4, time,2523
episode,12, randomSeed,5, time,2553
episode,12, randomSeed,6, time,2656
episode,12, randomSeed,7, time,2414
episode,12, randomSeed,8, time,2791
episode,12, randomSeed,9, time,2525
episode,13, randomSeed,0, time,2493
episode,13, randomSeed,1, time,2448
episode,13, randomSeed,2, time,2538
episode,13, randomSeed,3, time,2423
episode,13, randomSeed,4, time,2563
episode,13, randomSeed,5, time,2614
episode,13, randomSeed,6, time,2740
episode,13, randomSeed,7, time,2511
episode,13, randomSeed,8, time,2844
episode,13, randomSeed,9, time,2678
episode,14, randomSeed,0, time,2556
episode,14, randomSeed,1, time,2495
episode,14, randomSeed,2, time,2566
episode,14, randomSeed,3, time,2570
episode,14, randomSeed,4, time,2610
episode,14, randomSeed,5, time,2639
episode,14, randomSeed,6, time,2795
episode,14, randomSeed,7, time,2536
episode,14, randomSeed,8, time,2867
episode,14, randomSeed,9, time,2734
episode,15, randomSeed,0, time,2730
episode,15, randomSeed,1, time,2524
episode,15, randomSeed,2, time,2687
episode,15, randomSeed,3, time,2598
episode,15, randomSeed,4, time,2741
episode,15, randomSeed,5, time,2731
episode,15, randomSeed,6, time,2851
episode,15, randomSeed,7, time,2574
episode,15, randomSeed,8, time,3011
episode,15, randomSeed,9, time,2841
episode,16, randomSeed,0, time,2823
episode,16, randomSeed,1, time,2552
episode,16, randomSeed,2, time,2847
episode,16, randomSeed,3, time,2678
episode,16, randomSeed,4, time,2877
episode,16, randomSeed,5, time,2771
episode,16, randomSeed,6, time,3049
episode,16, randomSeed,7, time,2619
episode,16, randomSeed,8, time,3133
episode,16, randomSeed,9, time,2917
episode,17, randomSeed,0, time,2925
episode,17, randomSeed,1, time,2582
episode,17, randomSeed,2, time,2877
episode,17, randomSeed,3, time,2745
episode,17, randomSeed,4, time,2950
episode,17, randomSeed,5, time,2804
episode,17, randomSeed,6, time,3123
episode,17, randomSeed,7, time,2656
episode,17, randomSeed,8, time,3300
episode,17, randomSeed,9, time,3023
episode,18, randomSeed,0, time,3001
episode,18, randomSeed,1, time,2630
episode,18, randomSeed,2, time,2910
episode,18, randomSeed,3, time,2844
episode,18, randomSeed,4, time,3013
episode,18, randomSeed,5, time,2836
episode,18, randomSeed,6, time,3178
episode,18, randomSeed,7, time,2736
episode,18, randomSeed,8, time,3498
episode,18, randomSeed,9, time,3219
episode,19, randomSeed,0, time,3022
episode,19, randomSeed,1, time,2655
episode,19, randomSeed,2, time,2951
episode,19, randomSeed,3, time,2872
episode,19, randomSeed,4, time,3056
episode,19, randomSeed,5, time,2857
episode,19, randomSeed,6, time,3230
episode,19, randomSeed,7, time,2866
episode,19, randomSeed,8, time,3535
episode,19, randomSeed,9, time,3286
episode,20, randomSeed,0, time,3057
episode,20, randomSeed,1, time,2945
episode,20, randomSeed,2, time,2982
episode,20, randomSeed,3, time,2896
episode,20, randomSeed,4, time,3206
episode,20, randomSeed,5, time,3076
episode,20, randomSeed,6, time,3309
episode,20, randomSeed,7, time,3009
episode,20, randomSeed,8, time,3632
episode,20, randomSeed,9, time,3377
episode,21, randomSeed,0, time,3087
episode,21, randomSeed,1, time,2986
episode,21, randomSeed,2, time,3029
episode,21, randomSeed,3, time,2941
episode,21, randomSeed,4, time,3243
episode,21, randomSeed,5, time,3245
episode,21, randomSeed,6, time,3330
episode,21, randomSeed,7, time,3226
episode,21, randomSeed,8, time,3725
episode,21, randomSeed,9, time,3404
episode,22, randomSeed,0, time,3120
episode,22, randomSeed,1, time,3067
episode,22, randomSeed,2, time,3199
episode,22, randomSeed,3, time,3146
episode,22, randomSeed,4, time,3273
episode,22, randomSeed,5, time,3280
episode,22, randomSeed,6, time,3485
episode,22, randomSeed,7, time,3291
episode,22, randomSeed,8, time,3792
episode,22, randomSeed,9, time,3432
episode,23, randomSeed,0, time,3152
episode,23, randomSeed,1, time,3148
episode,23, randomSeed,2, time,3232
episode,23, randomSeed,3, time,3206
episode,23, randomSeed,4, time,3326
episode,23, randomSeed,5, time,3323
episode,23, randomSeed,6, time,3531
episode,23, randomSeed,7, time,3333
episode,23, randomSeed,8, time,3926
episode,23, randomSeed,9, time,3462
episode,24, randomSeed,0, time,3175
episode,24, randomSeed,1, time,3201
episode,24, randomSeed,2, time,3388
episode,24, randomSeed,3, time,3244
episode,24, randomSeed,4, time,3471
episode,24, randomSeed,5, time,3354
episode,24, randomSeed,6, time,3555
episode,24, randomSeed,7, time,3403
episode,24, randomSeed,8, time,3969
episode,24, randomSeed,9, time,3561
episode,25, randomSeed,0, time,3282
episode,25, randomSeed,1, time,3224
episode,25, randomSeed,2, time,3510
episode,25, randomSeed,3, time,3332
episode,25, randomSeed,4, time,3550
episode,25, randomSeed,5, time,3383
episode,25, randomSeed,6, time,3625
episode,25, randomSeed,7, time,3450
episode,25, randomSeed,8, time,3992
episode,25, randomSeed,9, time,3645
episode,26, randomSeed,0, time,3340
episode,26, randomSeed,1, time,3247
episode,26, randomSeed,2, time,3547
episode,26, randomSeed,3, time,3424
episode,26, randomSeed,4, time,3645
episode,26, randomSeed,5, time,3440
episode,26, randomSeed,6, time,3650
episode,26, randomSeed,7, time,3520
episode,26, randomSeed,8, time,4041
episode,26, randomSeed,9, time,3697
episode,27, randomSeed,0, time,3529
episode,27, randomSeed,1, time,3331
episode,27, randomSeed,2, time,3605
episode,27, randomSeed,3, time,3457
episode,27, randomSeed,4, time,3777
episode,27, randomSeed,5, time,3559
episode,27, randomSeed,6, time,3731
episode,27, randomSeed,7, time,3544
episode,27, randomSeed,8, time,4085
episode,27, randomSeed,9, time,3796
episode,28, randomSeed,0, time,3556
episode,28, randomSeed,1, time,3433
episode,28, randomSeed,2, time,3641
episode,28, randomSeed,3, time,3494
episode,28, randomSeed,4, time,3831
episode,28, randomSeed,5, time,3595
episode,28, randomSeed,6, time,3760
episode,28, randomSeed,7, time,3577
episode,28, randomSeed,8, time,4185
episode,28, randomSeed,9, time,3843
episode,29, randomSeed,0, time,3587
episode,29, randomSeed,1, time,3469
episode,29, randomSeed,2, time,3686
episode,29, randomSeed,3, time,3543
episode,29, randomSeed,4, time,3915
episode,29, randomSeed,5, time,3669
episode,29, randomSeed,6, time,3821
episode,29, randomSeed,7, time,3661
episode,29, randomSeed,8, time,4213
episode,29, randomSeed,9, time,3887
episode,30, randomSeed,0, time,3746
episode,30, randomSeed,1, time,3561
episode,30, randomSeed,2, time,3760
episode,30, randomSeed,3, time,3664
episode,30, randomSeed,4, time,3986
episode,30, randomSeed,5, time,3702
episode,30, randomSeed,6, time,3882
episode,30, randomSeed,7, time,3782
episode,30, randomSeed,8, time,4243
episode,30, randomSeed,9, time,4083
episode,31, randomSeed,0, time,3779
episode,31, randomSeed,1, time,3646
episode,31, randomSeed,2, time,3807
episode,31, randomSeed,3, time,3706
episode,31, randomSeed,4, time,4014
episode,31, randomSeed,5, time,3759
episode,31, randomSeed,6, time,3967
episode,31, randomSeed,7, time,3814
episode,31, randomSeed,8, time,4308
episode,31, randomSeed,9, time,4105
episode,32, randomSeed,0, time,3847
episode,32, randomSeed,1, time,3742
episode,32, randomSeed,2, time,3967
episode,32, randomSeed,3, time,3757
episode,32, randomSeed,4, time,4042
episode,32, randomSeed,5, time,3794
episode,32, randomSeed,6, time,4004
episode,32, randomSeed,7, time,3851
episode,32, randomSeed,8, time,4441
episode,32, randomSeed,9, time,4150
episode,33, randomSeed,0, time,3937
episode,33, randomSeed,1, time,3775
episode,33, randomSeed,2, time,3991
episode,33, randomSeed,3, time,3855
episode,33, randomSeed,4, time,4077
episode,33, randomSeed,5, time,3858
episode,33, randomSeed,6, time,4093
episode,33, randomSeed,7, time,3907
episode,33, randomSeed,8, time,4474
episode,33, randomSeed,9, time,4182
episode,34, randomSeed,0, time,3988
episode,34, randomSeed,1, time,3877
episode,34, randomSeed,2, time,4024
episode,34, randomSeed,3, time,3921
episode,34, randomSeed,4, time,4225
episode,34, randomSeed,5, time,3916
episode,34, randomSeed,6, time,4159
episode,34, randomSeed,7, time,4025
episode,34, randomSeed,8, time,4520
episode,34, randomSeed,9, time,4208
episode,35, randomSeed,0, time,4093
episode,35, randomSeed,1, time,3937
episode,35, randomSeed,2, time,4132
episode,35, randomSeed,3, time,3946
episode,35, randomSeed,4, time,4256
episode,35, randomSeed,5, time,4004
episode,35, randomSeed,6, time,4200
episode,35, randomSeed,7, time,4097
episode,35, randomSeed,8, time,4582
episode,35, randomSeed,9, time,4246
episode,36, randomSeed,0, time,4151
episode,36, randomSeed,1, time,3963
episode,36, randomSeed,2, time,4199
episode,36, randomSeed,3, time,4032
episode,36, randomSeed,4, time,4344
episode,36, randomSeed,5, time,4099
episode,36, randomSeed,6, time,4234
episode,36, randomSeed,7, time,4136
episode,36, randomSeed,8, time,4667
episode,36, randomSeed,9, time,4345
episode,37, randomSeed,0, time,4191
episode,37, randomSeed,1, time,4021
episode,37, randomSeed,2, time,4269
episode,37, randomSeed,3, time,4057
episode,37, randomSeed,4, time,4382
episode,37, randomSeed,5, time,4136
episode,37, randomSeed,6, time,4288
episode,37, randomSeed,7, time,4164
episode,37, randomSeed,8, time,4707
episode,37, randomSeed,9, time,4427
episode,38, randomSeed,0, time,4290
episode,38, randomSeed,1, time,4078
episode,38, randomSeed,2, time,4307
episode,38, randomSeed,3, time,4116
episode,38, randomSeed,4, time,4420
episode,38, randomSeed,5, time,4186
episode,38, randomSeed,6, time,4368
episode,38, randomSeed,7, time,4332
episode,38, randomSeed,8, time,4735
episode,38, randomSeed,9, time,4497
episode,39, randomSeed,0, time,4326
episode,39, randomSeed,1, time,4126
episode,39, randomSeed,2, time,4403
episode,39, randomSeed,3, time,4150
episode,39, randomSeed,4, time,4458
episode,39, randomSeed,5, time,4253
episode,39, randomSeed,6, time,4434
