episode,0, randomSeed,0, time,0
episode,0, randomSeed,1, time,0
episode,0, randomSeed,2, time,0
episode,0, randomSeed,3, time,0
episode,0, randomSeed,4, time,0
episode,0, randomSeed,5, time,0
episode,0, randomSeed,6, time,0
episode,0, randomSeed,7, time,0
episode,0, randomSeed,8, time,0
episode,0, randomSeed,9, time,0
episode,1, randomSeed,0, time,1724
episode,1, randomSeed,1, time,1221
episode,1, randomSeed,2, time,1501
episode,1, randomSeed,3, time,1319
episode,1, randomSeed,4, time,1402
episode,1, randomSeed,5, time,1456
episode,1, randomSeed,6, time,974
episode,1, randomSeed,7, time,1657
episode,1, randomSeed,8, time,1357
episode,1, randomSeed,9, time,1746
episode,2, randomSeed,0, time,1828
episode,2, randomSeed,1, time,1669
episode,2, randomSeed,2, time,1537
episode,2, randomSeed,3, time,1411
episode,2, randomSeed,4, time,1469
episode,2, randomSeed,5, time,1792
episode,2, randomSeed,6, time,1649
episode,2, randomSeed,7, time,1966
episode,2, randomSeed,8, time,1561
episode,2, randomSeed,9, time,1817
episode,3, randomSeed,0, time,1871
episode,3, randomSeed,1, time,1984
episode,3, randomSeed,2, time,1654
episode,3, randomSeed,3, time,1506
episode,3, randomSeed,4, time,1917
episode,3, randomSeed,5, time,1855
episode,3, randomSeed,6, time,1785
episode,3, randomSeed,7, time,1992
episode,3, randomSeed,8, time,1742
episode,3, randomSeed,9, time,1943
episode,4, randomSeed,0, time,1906
episode,4, randomSeed,1, time,2142
episode,4, randomSeed,2, time,1945
episode,4, randomSeed,3, time,1849
episode,4, randomSeed,4, time,2053
episode,4, randomSeed,5, time,1887
episode,4, randomSeed,6, time,2032
episode,4, randomSeed,7, time,2056
episode,4, randomSeed,8, time,1773
episode,4, randomSeed,9, time,2065
episode,5, randomSeed,0, time,1960
episode,5, randomSeed,1, time,2372
episode,5, randomSeed,2, time,2022
episode,5, randomSeed,3, time,1915
episode,5, randomSeed,4, time,2248
episode,5, randomSeed,5, time,1936
episode,5, randomSeed,6, time,2136
episode,5, randomSeed,7, time,2112
episode,5, randomSeed,8, time,2267
episode,5, randomSeed,9, time,2145
episode,6, randomSeed,0, time,2230
episode,6, randomSeed,1, time,2490
episode,6, randomSeed,2, time,2176
episode,6, randomSeed,3, time,2005
episode,6, randomSeed,4, time,2267
episode,6, randomSeed,5, time,2043
episode,6, randomSeed,6, time,2360
episode,6, randomSeed,7, time,2296
episode,6, randomSeed,8, time,2335
episode,6, randomSeed,9, time,2196
episode,7, randomSeed,0, time,2360
episode,7, randomSeed,1, time,2663
episode,7, randomSeed,2, time,2233
episode,7, randomSeed,3, time,2259
episode,7, randomSeed,4, time,2298
episode,7, randomSeed,5, time,2303
episode,7, randomSeed,6, time,2402
episode,7, randomSeed,7, time,2351
episode,7, randomSeed,8, time,2370
episode,7, randomSeed,9, time,2566
episode,8, randomSeed,0, time,2411
episode,8, randomSeed,1, time,2768
episode,8, randomSeed,2, time,2457
episode,8, randomSeed,3, time,2409
episode,8, randomSeed,4, time,2336
episode,8, randomSeed,5, time,2482
episode,8, randomSeed,6, time,2458
episode,8, randomSeed,7, time,2446
episode,8, randomSeed,8, time,2489
episode,8, randomSeed,9, time,2637
episode,9, randomSeed,0, time,2497
episode,9, randomSeed,1, time,2847
episode,9, randomSeed,2, time,2631
episode,9, randomSeed,3, time,2475
episode,9, randomSeed,4, time,2488
episode,9, randomSeed,5, time,2568
episode,9, randomSeed,6, time,2512
episode,9, randomSeed,7, time,2524
episode,9, randomSeed,8, time,2592
episode,9, randomSeed,9, time,2673
episode,10, randomSeed,0, time,2630
episode,10, randomSeed,1, time,2898
episode,10, randomSeed,2, time,2703
episode,10, randomSeed,3, time,2549
episode,10, randomSeed,4, time,2603
episode,10, randomSeed,5, time,2679
episode,10, randomSeed,6, time,2581
episode,10, randomSeed,7, time,2722
episode,10, randomSeed,8, time,2616
episode,10, randomSeed,9, time,2735
episode,11, randomSeed,0, time,2838
episode,11, randomSeed,1, time,3001
episode,11, randomSeed,2, time,2762
episode,11, randomSeed,3, time,2672
episode,11, randomSeed,4, time,2659
episode,11, randomSeed,5, time,2777
episode,11, randomSeed,6, time,2751
episode,11, randomSeed,7, time,2735
episode,11, randomSeed,8, time,2713
episode,11, randomSeed,9, time,2777
episode,12, randomSeed,0, time,2855
episode,12, randomSeed,1, time,3072
episode,12, randomSeed,2, time,2798
episode,12, randomSeed,3, time,2694
episode,12, randomSeed,4, time,2754
episode,12, randomSeed,5, time,2881
episode,12, randomSeed,6, time,2779
episode,12, randomSeed,7, time,2803
episode,12, randomSeed,8, time,2739
episode,12, randomSeed,9, time,2856
episode,13, randomSeed,0, time,2879
episode,13, randomSeed,1, time,3090
episode,13, randomSeed,2, time,2837
episode,13, randomSeed,3, time,2732
episode,13, randomSeed,4, time,2871
episode,13, randomSeed,5, time,2965
episode,13, randomSeed,6, time,2805
episode,13, randomSeed,7, time,2869
episode,13, randomSeed,8, time,2892
episode,13, randomSeed,9, time,2966
episode,14, randomSeed,0, time,2947
episode,14, randomSeed,1, time,3252
episode,14, randomSeed,2, time,2913
episode,14, randomSeed,3, time,2792
episode,14, randomSeed,4, time,2942
episode,14, randomSeed,5, time,2997
episode,14, randomSeed,6, time,2865
episode,14, randomSeed,7, time,2960
episode,14, randomSeed,8, time,2912
episode,14, randomSeed,9, time,2995
episode,15, randomSeed,0, time,3011
episode,15, randomSeed,1, time,3297
episode,15, randomSeed,2, time,2936
episode,15, randomSeed,3, time,2825
episode,15, randomSeed,4, time,2984
episode,15, randomSeed,5, time,3018
episode,15, randomSeed,6, time,2884
episode,15, randomSeed,7, time,3051
episode,15, randomSeed,8, time,2968
episode,15, randomSeed,9, time,3048
episode,16, randomSeed,0, time,3044
episode,16, randomSeed,1, time,3315
episode,16, randomSeed,2, time,3110
episode,16, randomSeed,3, time,2874
episode,16, randomSeed,4, time,3058
episode,16, randomSeed,5, time,3037
episode,16, randomSeed,6, time,2979
episode,16, randomSeed,7, time,3107
episode,16, randomSeed,8, time,2994
episode,16, randomSeed,9, time,3070
episode,17, randomSeed,0, time,3074
episode,17, randomSeed,1, time,3371
episode,17, randomSeed,2, time,3173
episode,17, randomSeed,3, time,2898
episode,17, randomSeed,4, time,3300
episode,17, randomSeed,5, time,3068
episode,17, randomSeed,6, time,3068
episode,17, randomSeed,7, time,3259
episode,17, randomSeed,8, time,3141
episode,17, randomSeed,9, time,3187
episode,18, randomSeed,0, time,3121
episode,18, randomSeed,1, time,3385
episode,18, randomSeed,2, time,3196
episode,18, randomSeed,3, time,2920
episode,18, randomSeed,4, time,3360
episode,18, randomSeed,5, time,3286
episode,18, randomSeed,6, time,3089
episode,18, randomSeed,7, time,3282
episode,18, randomSeed,8, time,3290
episode,18, randomSeed,9, time,3220
episode,19, randomSeed,0, time,3196
episode,19, randomSeed,1, time,3426
episode,19, randomSeed,2, time,3257
episode,19, randomSeed,3, time,3004
episode,19, randomSeed,4, time,3387
episode,19, randomSeed,5, time,3426
episode,19, randomSeed,6, time,3176
episode,19, randomSeed,7, time,3299
episode,19, randomSeed,8, time,3316
episode,19, randomSeed,9, time,3294
episode,20, randomSeed,0, time,3354
episode,20, randomSeed,1, time,3446
episode,20, randomSeed,2, time,3376
episode,20, randomSeed,3, time,3143
episode,20, randomSeed,4, time,3444
episode,20, randomSeed,5, time,3448
episode,20, randomSeed,6, time,3224
episode,20, randomSeed,7, time,3335
episode,20, randomSeed,8, time,3344
episode,20, randomSeed,9, time,3427
episode,21, randomSeed,0, time,3470
episode,21, randomSeed,1, time,3472
episode,21, randomSeed,2, time,3400
episode,21, randomSeed,3, time,3328
episode,21, randomSeed,4, time,3477
episode,21, randomSeed,5, time,3464
episode,21, randomSeed,6, time,3264
episode,21, randomSeed,7, time,3435
episode,21, randomSeed,8, time,3416
episode,21, randomSeed,9, time,3535
episode,22, randomSeed,0, time,3526
episode,22, randomSeed,1, time,3575
episode,22, randomSeed,2, time,3486
episode,22, randomSeed,3, time,3396
episode,22, randomSeed,4, time,3620
episode,22, randomSeed,5, time,3511
episode,22, randomSeed,6, time,3293
episode,22, randomSeed,7, time,3574
episode,22, randomSeed,8, time,3451
episode,22, randomSeed,9, time,3648
episode,23, randomSeed,0, time,3551
episode,23, randomSeed,1, time,3640
episode,23, randomSeed,2, time,3501
episode,23, randomSeed,3, time,3461
episode,23, randomSeed,4, time,3651
episode,23, randomSeed,5, time,3546
episode,23, randomSeed,6, time,3471
episode,23, randomSeed,7, time,3631
episode,23, randomSeed,8, time,3469
episode,23, randomSeed,9, time,3734
episode,24, randomSeed,0, time,3597
episode,24, randomSeed,1, time,3658
episode,24, randomSeed,2, time,3629
episode,24, randomSeed,3, time,3553
episode,24, randomSeed,4, time,3675
episode,24, randomSeed,5, time,3596
episode,24, randomSeed,6, time,3542
episode,24, randomSeed,7, time,3693
episode,24, randomSeed,8, time,3567
episode,24, randomSeed,9, time,3776
episode,25, randomSeed,0, time,3707
episode,25, randomSeed,1, time,3745
episode,25, randomSeed,2, time,3682
episode,25, randomSeed,3, time,3597
episode,25, randomSeed,4, time,3721
episode,25, randomSeed,5, time,3665
episode,25, randomSeed,6, time,3565
episode,25, randomSeed,7, time,3726
episode,25, randomSeed,8, time,3648
episode,25, randomSeed,9, time,3823
episode,26, randomSeed,0, time,3774
episode,26, randomSeed,1, time,3761
episode,26, randomSeed,2, time,3700
episode,26, randomSeed,3, time,3663
episode,26, randomSeed,4, time,3791
episode,26, randomSeed,5, time,3684
episode,26, randomSeed,6, time,3627
episode,26, randomSeed,7, time,3820
episode,26, randomSeed,8, time,3711
episode,26, randomSeed,9, time,3861
episode,27, randomSeed,0, time,3808
episode,27, randomSeed,1, time,3822
episode,27, randomSeed,2, time,3741
episode,27, randomSeed,3, time,3739
episode,27, randomSeed,4, time,3809
episode,27, randomSeed,5, time,3704
episode,27, randomSeed,6, time,3646
episode,27, randomSeed,7, time,3853
episode,27, randomSeed,8, time,3794
episode,27, randomSeed,9, time,3910
episode,28, randomSeed,0, time,3937
episode,28, randomSeed,1, time,3883
episode,28, randomSeed,2, time,3801
episode,28, randomSeed,3, time,3802
episode,28, randomSeed,4, time,3827
episode,28, randomSeed,5, time,3768
episode,28, randomSeed,6, time,3672
episode,28, randomSeed,7, time,3943
episode,28, randomSeed,8, time,3842
episode,28, randomSeed,9, time,3920
episode,29, randomSeed,0, time,3950
episode,29, randomSeed,1, time,3914
episode,29, randomSeed,2, time,3944
episode,29, randomSeed,3, time,3859
episode,29, randomSeed,4, time,3855
episode,29, randomSeed,5, time,3938
episode,29, randomSeed,6, time,3704
episode,29, randomSeed,7, time,3959
episode,29, randomSeed,8, time,3943
episode,29, randomSeed,9, time,3950
episode,30, randomSeed,0, time,4009
episode,30, randomSeed,1, time,3935
episode,30, randomSeed,2, time,3973
episode,30, randomSeed,3, time,3920
episode,30, randomSeed,4, time,3956
episode,30, randomSeed,5, time,4046
episode,30, randomSeed,6, time,3789
episode,30, randomSeed,7, time,3980
episode,30, randomSeed,8, time,3973
episode,30, randomSeed,9, time,4040
episode,31, randomSeed,0, time,4070
episode,31, randomSeed,1, time,4008
episode,31, randomSeed,2, time,3989
episode,31, randomSeed,3, time,3984
episode,31, randomSeed,4, time,4025
episode,31, randomSeed,5, time,4082
episode,31, randomSeed,6, time,3878
episode,31, randomSeed,7, time,4166
episode,31, randomSeed,8, time,3995
episode,31, randomSeed,9, time,4086
episode,32, randomSeed,0, time,4091
episode,32, randomSeed,1, time,4065
episode,32, randomSeed,2, time,4079
episode,32, randomSeed,3, time,3993
episode,32, randomSeed,4, time,4228
episode,32, randomSeed,5, time,4108
episode,32, randomSeed,6, time,4075
episode,32, randomSeed,7, time,4242
episode,32, randomSeed,8, time,4160
episode,32, randomSeed,9, time,4108
episode,33, randomSeed,0, time,4132
episode,33, randomSeed,1, time,4085
episode,33, randomSeed,2, time,4169
episode,33, randomSeed,3, time,4045
episode,33, randomSeed,4, time,4263
episode,33, randomSeed,5, time,4143
episode,33, randomSeed,6, time,4089
episode,33, randomSeed,7, time,4353
episode,33, randomSeed,8, time,4259
episode,33, randomSeed,9, time,4136
episode,34, randomSeed,0, time,4154
episode,34, randomSeed,1, time,4121
episode,34, randomSeed,2, time,4224
episode,34, randomSeed,3, time,4111
episode,34, randomSeed,4, time,4380
episode,34, randomSeed,5, time,4166
episode,34, randomSeed,6, time,4154
episode,34, randomSeed,7, time,4390
episode,34, randomSeed,8, time,4267
episode,34, randomSeed,9, time,4215
episode,35, randomSeed,0, time,4199
episode,35, randomSeed,1, time,4139
episode,35, randomSeed,2, time,4316
episode,35, randomSeed,3, time,4131
episode,35, randomSeed,4, time,4396
episode,35, randomSeed,5, time,4288
episode,35, randomSeed,6, time,4191
episode,35, randomSeed,7, time,4410
episode,35, randomSeed,8, time,4324
episode,35, randomSeed,9, time,4230
episode,36, randomSeed,0, time,4308
episode,36, randomSeed,1, time,4156
episode,36, randomSeed,2, time,4380
episode,36, randomSeed,3, time,4206
episode,36, randomSeed,4, time,4510
episode,36, randomSeed,5, time,4383
episode,36, randomSeed,6, time,4219
episode,36, randomSeed,7, time,4450
episode,36, randomSeed,8, time,4360
episode,36, randomSeed,9, time,4283
episode,37, randomSeed,0, time,4342
episode,37, randomSeed,1, time,4238
episode,37, randomSeed,2, time,4422
episode,37, randomSeed,3, time,4231
episode,37, randomSeed,4, time,4540
episode,37, randomSeed,5, time,4457
episode,37, randomSeed,6, time,4244
episode,37, randomSeed,7, time,4483
episode,37, randomSeed,8, time,4391
episode,37, randomSeed,9, time,4330
episode,38, randomSeed,0, time,4367
episode,38, randomSeed,1, time,4291
episode,38, randomSeed,2, time,4435
episode,38, randomSeed,3, time,4267
episode,38, randomSeed,4, time,4555
episode,38, randomSeed,5, time,4505
episode,38, randomSeed,6, time,4252
episode,38, randomSeed,7, time,4564
episode,38, randomSeed,8, time,4522
episode,38, randomSeed,9, time,4391
episode,39, randomSeed,0, time,4415
episode,39, randomSeed,1, time,4312
episode,39, randomSeed,2, time,4531
episode,39, randomSeed,3, time,4284
episode,39, randomSeed,4, time,4568
episode,39, randomSeed,5, time,4522
episode,39, randomSeed,6, time,4274
episode,39, randomSeed,7, time,4581
episode,39, randomSeed,8, time,4534
episode,39, randomSeed,9, time,4428
episode,40, randomSeed,0, time,4461
episode,40, randomSeed,1, time,4333
episode,40, randomSeed,2, time,4570
episode,40, randomSeed,3, time,4298
episode,40, randomSeed,4, time,4575
episode,40, randomSeed,5, time,4554
